Winner,WPts,Loser,LPts
Iowa State,24,Kansas State,21
Arizona,23,Kansas State,17
Houston,36,Colorado,20
Arizona State,27,Baylor,24
Kansas,41,West Virginia,10
Texas Tech,34,Utah,10
Arizona State,27,Texas Christian,24
Baylor,45,Oklahoma State,27
Brigham Young,24,Colorado,21
Cincinnati,37,Kansas,34
Iowa State,39,Arizona,14
Kansas State,34,Central Florida,20
Utah,48,West Virginia,14
Brigham Young,38,West Virginia,24
Arizona,41,Oklahoma State,13
Baylor,35,Kansas State,34
Cincinnati,38,Iowa State,30
Kansas,27,Central Florida,20
Texas Christian,35,Colorado,21
Texas Tech,35,Houston,11
Brigham Young,33,Arizona,27
Cincinnati,20,Central Florida,11
Colorado,24,Iowa State,17
Houston,39,Oklahoma State,17
Kansas State,41,Texas Christian,28
Texas Tech,42,Kansas,17
Utah,42,Arizona State,10
Arizona State,26,Texas Tech,22
Brigham Young,24,Utah,21
Central Florida,45,West Virginia,13
Cincinnati,49,Oklahoma State,17
Houston,31,Arizona,28
Texas Christian,42,Baylor,36
Brigham Young,41,Iowa State,27
Cincinnati,41,Baylor,20
Houston,24,Arizona State,16
Kansas State,42,Kansas,17
Texas Christian,23,West Virginia,17
Texas Tech,42,Oklahoma State,0
Utah,53,Colorado,7
Arizona,52,Colorado,17
Arizona State,24,Iowa State,19
Baylor,30,Central Florida,3
Kansas,38,Oklahoma State,21
Texas Tech,43,Kansas State,20
Utah,45,Cincinnati,14
West Virginia,45,Houston,35
Houston,30,Central Florida,27
Arizona,24,Kansas,20
Iowa State,20,Texas Christian,17
Texas Tech,29,Brigham Young,7
West Virginia,29,Colorado,22
Arizona,30,Cincinnati,24
Arizona State,25,West Virginia,23
Brigham Young,44,Texas Christian,13
Kansas State,14,Oklahoma State,6
Texas Tech,48,Central Florida,9
Utah,55,Baylor,28
Arizona State,42,Colorado,17
Arizona,41,Baylor,17
Brigham Young,26,Cincinnati,14
Iowa State,38,Kansas,14
Utah,51,Kansas State,47
Central Florida,17,Oklahoma State,14
Texas Christian,17,Houston,14
Arizona,,Arizona State,
Utah,,Kansas,
Central Florida,,Brigham Young,
Cincinnati,,Texas Christian,
Colorado,,Kansas State,
Houston,,Baylor,
Iowa State,,Oklahoma State,
Texas Tech,,West Virginia,
